Comment,Designator,Footprint,LCSC, LCSC
"1uF","C1","Capacitor_SMD:C_0805_2012Metric","","C28323"
"10nF","C20,C19,C2","Capacitor_SMD:C_0805_2012Metric","","C1710"
"10uF","C21","Capacitor_SMD:C_0805_2012Metric","","C15850"
"100nF","C24,C23,C5,C6,C25,C28,C16,C15,C14,C13,C12,C11,C10,C9,C22,C26,C27","Capacitor_SMD:C_0805_2012Metric","","C49678"
"220uF","C4,C3,C7,C8,C18,C17","Capacitor_SMD:CP_Elec_8x10","","C311611"
"SS54HF","D2,D3,D1,D15,D14,D13,D12,D11,D10","e-Power:DO-214AC","","C22452"
"LED","D6,D7,D8,D9,D4,D5","LED_SMD:LED_0805_2012Metric","","C84256"
"Fuse","F3,F1,F2,F4,F5","e-Power:FUSE_1206_3216Metric","","C182445"
"MountingHole_Pad","H1,H2,H3,H4","e-Power:MountingHole_4mm_Pad_Via",""
"MountingHole_Pad","H5","e-Power:MountingHole_3.2mm_M3_Pad",""
"Input_01x02","J2","e-Power:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"Conn_01x07_Male","J5","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Horizontal",""
"Screw_Terminal_01x04","J6","e-Power:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Screw_Terminal_01x08","J7,J4,J3,J1","e-Power:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",""
"DHT11","J8","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"G5NB-1A-E","K1,K2,K3,K4,K5,K6","e-Power:Relay_SPST_Omron-G5Q-1A",""
"Ferrite","L1","e-Power:FB_0603_1608Metric","","C1002"
"10uH","L3,L5,L4,L7,L6,L2","e-Power:L_10.4x10.4_H4.8","","C9935"
"MMBT5551","Q6,Q5,Q4,Q3,Q2,Q1","Package_TO_SOT_SMD:SOT-23","","C2145"
"2.2R","R13","Resistor_SMD:R_0805_2012Metric","","C17521"
"10K","R14,R15,R17,R16,R18,R20,R22,R23,R40,R24,R41,R25,R42,R26,R43,R27,R44,R28,R45,R29,R46,R39,R19,R21","Resistor_SMD:R_0805_2012Metric","","C17414"
"1K2","R31","Resistor_SMD:R_0805_2012Metric","","C17379"
"3K9","R33","Resistor_SMD:R_0805_2012Metric","","C17614"
"100R","R34","Resistor_SMD:R_0805_2012Metric","","C17408"
"ADJ","R35,R30,R36,R32","Resistor_SMD:R_0805_2012Metric",""
"12K","R37","Resistor_SMD:R_0805_2012Metric","","C17444"
"2K7","R38","Resistor_SMD:R_0805_2012Metric","","C17530"
"15R","R4,R3,R2,R1","Resistor_SMD:R_0805_2012Metric","","C17480"
"0R","R47","Resistor_SMD:R_0805_2012Metric","","C17477"
"330R","R53,R52,R51,R50,R49,R48","Resistor_SMD:R_0805_2012Metric","","C17630"
"1K","R6,R5,R8,R7,R10,R9,R12,R11,R59,R58,R57,R56,R55,R54,R60","Resistor_SMD:R_0805_2012Metric","","C17513"
"LM358","U2,U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C7950"
"LM2596S-ADJ","U3,U4","Package_TO_SOT_SMD:TO-263-5_TabPin3","","C52684"
"TLP290-4","U5,U6","e-Power:SOIC-16_4.55x10.3mm_P1.27mm(TLP290-4)","","C39031"
"SIM800L","U7","e-Power:SIM800L",""
"ESP32-dev-board","U8","e-Power:ESP-32-dev-kit",""
