Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R162,330R,R_0805_2012Metric,157.48,-74.676,270,top
R163,470R,R_0805_2012Metric,122.428,-67.818,270,top
R164,470R,R_0805_2012Metric,133.858,-67.818,270,top
R165,470R,R_0805_2012Metric,145.288,-67.818,270,top
R166,470R,R_0805_2012Metric,156.718,-67.818,270,top
R167,39R,R_0805_2012Metric,124.46,-62.992,90,top
R168,39R,R_0805_2012Metric,135.89,-62.992,90,top
R169,39R,R_0805_2012Metric,147.32,-62.992,90,top
R170,39R,R_0805_2012Metric,158.75,-62.992,90,top
R171,0R,R_0805_2012Metric,188.4553,-120.269,270,top
U101,LM358,SOIC-8_3.9x4.9mm_P1.27mm,160.528,-115.697,270,top
U102,LM358,SOIC-8_3.9x4.9mm_P1.27mm,174.752,-115.697,270,top
U103,LM2596S-ADJ,TO-263-5_TabPin3,212.725,-64.135,180,top
U104,LM2596S-ADJ,TO-263-5_TabPin3,194.945,-64.135,0,top
U105,TLP290-4,SOIC-16_4.55x10.3mm_P1.27mm(TLP290-4),116.332,-100.203,0,top
U106,TLP290-4,SOIC-16_4.55x10.3mm_P1.27mm(TLP290-4),116.332,-112.268,0,top
U107,KAQY214S,SO-4_4.4x4.3mm_P2.54mm,110.744,-63.246,90,top
U108,KAQY214S,SO-4_4.4x4.3mm_P2.54mm,118.11,-63.246,90,top
U109,MOC3023S,DIP-6_W8.89mm_SMDSocket_LongPads,128.524,-79.248,90,top
U110,MOC3023S,DIP-6_W8.89mm_SMDSocket_LongPads,139.954,-79.248,90,top
U111,MOC3023S,DIP-6_W8.89mm_SMDSocket_LongPads,151.384,-79.248,90,top
U112,MOC3023S,DIP-6_W8.89mm_SMDSocket_LongPads,162.814,-79.248,90,top
